case_number,trip_duration_days,miles_traveled,total_receipts_amount,expected_output,algorithm_result,absolute_error,error_percentage
612,7,1000,1620.46,1971.23,2105.09,133.86000000000013,6.790683989184425
886,12,121,608.92,1033.44,1167.31,133.8699999999999,12.953824121381007
27,5,794,511,1139.94,1274.43,134.49,11.797989367861467
249,3,892,171.32,875.39,1010.06,134.66999999999996,15.384000274163512
487,12,958,2499.84,1791.69,1926.82,135.12999999999988,7.542041312950336
127,5,126.44,696.14,845.35,980.88,135.52999999999997,16.03241261016147
693,10,834,1820.8,1883.49,2019.18,135.69000000000005,7.204179475335683
839,10,728,226.53,1060.47,1196.33,135.8599999999999,12.81130064971191
731,6,436,914.53,1389.11,1525.52,136.41000000000008,9.819956662899273
486,3,1092,1737.65,1462.01,1325.05,136.96000000000004,9.3679249799933
472,10,64,455.9,774.64,912.01,137.37,17.7333987400599
686,12,1074,2407.71,1843.97,1981.51,137.53999999999996,7.458906598263527
825,10,273,799.9,1155.05,1292.84,137.78999999999996,11.929353707631702
571,10,643,2263.77,1685.92,1546.75,139.17000000000007,8.254840087311383
624,5,629,484.34,1029.87,889.98,139.88999999999987,13.583267791080416
278,12,104,1300.05,1779.92,1639.71,140.21000000000004,7.8773203290035525
337,5,763,1420.94,1777.14,1636.78,140.36000000000013,7.898083437433185
625,11,327,961.08,1356.46,1496.85,140.38999999999987,10.349733866092613
273,12,218,486.02,1005.67,1146.27,140.60000000000002,13.980729265067074
977,5,717,1508.97,1722.49,1581.85,140.6400000000001,8.164924034392078
252,5,873,1584.53,1796.7,1655.9,140.79999999999995,7.836589302610339
362,7,671,1297.02,1703.2,1844.06,140.8599999999999,8.270314701737899
56,10,909,696,1505.19,1646.23,141.03999999999996,9.370245616832424
173,1,140,255.99,150.34,292.0,141.66,94.22642011440733
311,14,127,988.4,1688.9,1546.97,141.93000000000006,8.40369471253479
488,11,955,1282.19,2000.42,2142.38,141.96000000000004,7.096509732956082
584,11,1106,2250.54,2050.62,1908.65,141.9699999999998,6.923271986033483
917,13,1204,24.47,1344.17,1486.15,141.98000000000002,10.562652045500197
145,9,913,1021.29,1964.86,1821.61,143.25,7.29059576763739
832,8,16,259.02,543.56,400.0,143.55999999999995,26.411067775406572
63,5,685,747.14,1216.36,1360.34,143.98000000000002,11.836956164293468
685,4,420,927.74,1238.04,1092.5,145.53999999999996,11.755678330263963
28,5,521,1448.55,1624.01,1478.45,145.55999999999995,8.962998996311596
774,5,755,1584.41,1729.08,1582.78,146.29999999999995,8.461146968329977
172,2,622,1871.56,1494.23,1347.8,146.43000000000006,9.799696164579755
323,4,262,1681.28,1435.34,1288.05,147.28999999999996,10.261680159404738
854,4,810,1852.31,1575.87,1723.62,147.75,9.375773382322146
952,1,759,330.29,500.92,648.75,147.82999999999998,29.51169847480635
332,2,267,2116.93,1349.04,1201.0,148.03999999999996,10.97372946688015
22,5,173,1337.9,1443.96,1295.89,148.06999999999994,10.254439181140746
524,10,692,1671.71,1701.23,1849.5,148.26999999999998,8.715458815092608
52,9,954,1483.39,2024.2,2172.55,148.35000000000014,7.328821262721082
338,7,368,1231.69,1550.04,1698.81,148.76999999999998,9.597816830533406
29,5,595,863.93,1231.67,1380.45,148.77999999999997,12.079534290840888
383,10,714,269.06,1067.81,1216.72,148.91000000000008,13.945364812092048
294,10,831,39.86,982.64,1131.63,148.99000000000012,15.16221607099244
946,4,317,1793.28,1518.93,1369.7,149.23000000000002,9.8246792149737
126,9,332.35,374.61,830.45,979.9,149.44999999999993,17.996267084111015
211,11,623,2265.21,1739.18,1588.71,150.47000000000003,8.651778424314909
94,1,359.62,221.15,255.57,406.35,150.78000000000003,58.99753492193921
197,12,33,1249.13,1707.38,1556.5,150.8800000000001,8.83693143881269
111,5,198.21,594.83,807.48,959.53,152.04999999999995,18.830187744588095
66,6,697,651.64,1237.71,1390.68,152.97000000000003,12.359114816879561
49,11,916,1036.91,2098.07,1944.56,153.51000000000022,7.316724418155743
484,9,800,2167.72,1726.51,1572.93,153.57999999999993,8.895401706332423
153,11,1179,31.36,1550.55,1396.29,154.26,9.948727870755537
982,14,383,97.95,1203.93,1049.56,154.37000000000012,12.82217404666385
827,7,636,697.02,1276.06,1430.62,154.55999999999995,12.112283121483312
678,13,63,107.92,710.25,865.13,154.88,21.80640619500176
399,9,1102,540.6,1455.85,1611.76,155.91000000000008,10.709207679362578
660,9,633,888.17,1384.78,1540.83,156.04999999999995,11.268938026256874
258,10,459,2183.11,1559.59,1403.31,156.27999999999997,10.020582332536113
984,14,1090,2248.68,1905.5,2062.47,156.9699999999998,8.237732878509567
306,2,547,119.09,509.52,666.52,157.0,30.81331449207097
261,10,536,2194.42,1615.13,1457.72,157.41000000000008,9.745964721106045
31,5,477,704.42,1045.96,1203.61,157.64999999999986,15.072278098588843
102,1,257.97,816.81,738.01,579.83,158.17999999999995,21.433313911735606
955,6,840,870.82,1496.46,1654.8,158.33999999999992,10.580971091776586
168,12,986,2390.92,1760,1918.35,158.3499999999999,8.997159090909086
937,1,780,366.37,516.69,675.18,158.4899999999999,30.674098589095955
671,4,1191,999.45,1478.93,1637.75,158.81999999999994,10.738844975759497
401,13,1024,1712.85,2097.69,2257.51,159.82000000000016,7.61885693310261
714,14,555,313.73,1201.26,1361.46,160.20000000000005,13.33599720293692
54,12,765,1343.97,1953.03,2113.33,160.29999999999995,8.207759225408722
387,5,651,1573.3,1682.08,1521.63,160.44999999999982,9.538785313421467
523,7,981,658.85,1351.69,1513.2,161.51,11.948745644341527
808,14,174,815.3,1295.14,1457.29,162.14999999999986,12.519882020476539
341,6,172,1977.78,1603.89,1441.04,162.85000000000014,10.153439450336379
887,4,764,1417.94,1682.1,1519.06,163.03999999999996,9.692646097140479
414,10,773,865.92,1837.11,1674.05,163.05999999999995,8.875897469394863
295,14,124,1064.64,1761.68,1598.33,163.35000000000014,9.272399073611561
550,12,1075,2328.11,1798.38,1962.28,163.89999999999986,9.113757937699477
470,1,432,581.71,448.34,613.71,165.37000000000006,36.88495338359282
791,5,351,407.74,883.11,717.62,165.49,18.739454881045397
385,14,1122,1766.25,2239.35,2404.86,165.51000000000022,7.3909839908902235
141,7,889,1417.96,1826.08,1992.93,166.85000000000014,9.137058617366169
991,3,175,440.19,431.17,598.58,167.41000000000003,38.826912818609834
137,6,825,1692.73,1817.77,1650.0,167.76999999999998,9.229440468266063
163,10,1145,311.43,1366.61,1535.15,168.5400000000002,12.332706478073497
829,2,798,2334.41,1485.4,1654.38,168.98000000000002,11.376060320452403
924,4,103,1790.07,1394.55,1225.04,169.51,12.155175504643074
74,6,761,530.19,1120.1,1289.71,169.61000000000013,15.142398000178567
358,5,966,359.51,927.98,1098.92,170.94000000000005,18.42065561757797
812,5,1120,1514.91,1658.97,1829.93,170.96000000000004,10.305189364485194
275,11,17,550.58,830.07,1001.8,171.7299999999999,20.688616622694457
544,2,983,2109.93,1519.98,1692.24,172.26,11.333043855840208
971,14,1158,2104.61,1899.69,2072.01,172.32000000000016,9.070953681916532
698,9,52,350.58,601.81,775.25,173.44000000000005,28.819727156411503
794,6,384,1656.04,1682.33,1508.88,173.44999999999982,10.310105627314488
594,2,68,756.61,648.53,822.21,173.68000000000006,26.78056527839885
184,5,733,41.18,771.83,945.64,173.80999999999995,22.519207597527945
386,4,1202,1074.87,1501.24,1675.29,174.04999999999995,11.593749167354982
673,7,951,584.4,1253.76,1428.25,174.49,13.917336651352732
922,10,454,2359.42,1619,1444.04,174.96000000000004,10.806670784434838
595,14,512,526.84,1306.64,1481.83,175.18999999999983,13.407671585134375
186,10,478,2091.79,1568.41,1393.21,175.20000000000005,11.170548517288212
468,2,251,1916.43,1285.2,1109.76,175.44000000000005,13.650793650793656
748,10,87,498.96,781.97,957.56,175.58999999999992,22.454825632696895
933,12,180,384.42,873.97,1049.69,175.72000000000003,20.105953293591316
255,1,388,390.7,332.06,508.15,176.08999999999997,53.02957296874058
227,10,377,301.96,837.36,1013.96,176.60000000000002,21.090092672207895
555,5,504,1502.63,1628.66,1451.69,176.97000000000003,10.865987990126854
631,14,457,848.61,1492.64,1670.22,177.57999999999993,11.897041483545927
480,14,767,186.47,1292.77,1470.36,177.58999999999992,13.737169024652484
912,4,724,89.99,667.98,846.07,178.09000000000003,26.660977873589033
144,9,1096,1690.22,1894.85,2074.43,179.57999999999993,9.477267329867797
193,12,379,1897.29,1682.98,1862.58,179.5999999999999,10.671546898953043
720,2,616,968.93,1163.1,982.61,180.4899999999999,15.518012208752463
804,12,574,2240.9,1785.72,1604.8,180.92000000000007,10.131487579239751
203,6,597,888.84,1395.65,1577.04,181.38999999999987,12.996811521513262
423,4,675,381.48,779.68,961.14,181.46000000000004,23.27365072850401
59,9,708,461.07,1110.6,1292.11,181.51,16.343417972267243
446,3,182,347.82,384.77,566.53,181.76,47.238610078748344
539,7,344,1242.05,1514.4,1696.63,182.23000000000002,12.033148441627048
354,10,888,298.68,1171.54,1354.04,182.5,15.577786503235059
859,11,447,130.07,852.02,1034.56,182.53999999999996,21.42437970939649
559,9,994,1742.62,1849.58,2032.29,182.71000000000004,9.878458893370388
500,14,467,2176.26,1809.83,1626.96,182.8699999999999,10.10426393639181
945,10,498,992.86,1395.03,1578.66,183.6300000000001,13.163157781553092
57,10,223,745.89,1037.45,1221.53,184.07999999999993,17.7435057111186
596,14,1001,1647.24,2080,2264.29,184.28999999999996,8.860096153846152
421,1,1060,501.67,658.14,842.5,184.36,28.01227702312578
318,13,1034,2477.98,1842.24,2027.28,185.03999999999996,10.044293903074516
271,7,623,1691.39,1800.86,1987.33,186.47000000000003,10.354497295736484
798,10,958,1643.76,1827.18,2013.74,186.55999999999995,10.210269376853946
276,9,696,1749.97,1649.49,1836.31,186.81999999999994,11.32592498287349
195,2,634,1739.81,1490.51,1303.38,187.12999999999988,12.554763134765945
288,12,64,1641.01,1710.72,1523.38,187.33999999999992,10.950944631500183
304,14,1184,2269.89,1943.24,2130.75,187.51,9.649348510734649
806,14,595,1818.77,1889.9,2078.03,188.1300000000001,9.954494946822589
689,5,1143,1217.72,1745.09,1933.34,188.25,10.787409245368435
656,12,714,2003.23,1829.06,1639.19,189.8699999999999,10.380742020491395
411,6,924,1227.21,1871.76,1681.68,190.07999999999993,10.155148095909729
250,11,741,1872.39,1847.08,2037.66,190.58000000000015,10.317907183229755
160,10,224,407.51,794.7,985.34,190.64,23.98892663898326
481,11,775,1752.23,1809.29,2000.37,191.07999999999993,10.561048809201395
920,12,988,2492.79,1753.84,1945.16,191.32000000000016,10.908634767139544
699,14,976,1526.58,1995.87,2187.21,191.34000000000015,9.586796735258316
53,9,534,1929.94,1624.87,1817.75,192.8800000000001,11.870488100586515
231,11,36,1541.47,1593.24,1399.86,193.3800000000001,12.13753106876554
443,8,75,315.71,593.83,400.0,193.83000000000004,32.640654732836
501,3,224,358.77,406.36,600.31,193.94999999999993,47.728615021163485
62,2,993,54.24,715.19,909.41,194.2199999999999,27.15641997231503
297,5,955,106.86,897.78,1092.1,194.31999999999994,21.64450087994831
941,7,83,137.84,482.65,677.89,195.24,40.45167305500881
683,6,668,1922.45,1796.98,1599.76,197.22000000000003,10.975080412692408
267,5,1028,653.19,1313.95,1511.93,197.98000000000002,15.0675444271091
340,14,1138,518.18,1696.86,1895.19,198.33000000000015,11.688059120964615
265,11,706,1508.23,2030.59,1832.13,198.4599999999998,9.773514101812765
322,4,1047,1657.68,1605.84,1804.56,198.72000000000003,12.374831863697507
522,10,1192,23.47,1157.87,1357.11,199.24,17.20745852297754
230,11,772,932.31,1575.52,1774.86,199.33999999999992,12.65233065908398
502,3,712,512.23,751.16,952.07,200.91000000000008,26.746631876031753
823,4,238,1707.28,1483.48,1282.37,201.11000000000013,13.556637096556754
853,6,1203,1900.48,1972.88,1770.96,201.92000000000007,10.234783666517986
90,5,754,489.99,765.13,967.48,202.35000000000002,26.446486218028316
938,9,934,415.5,1208.82,1411.63,202.81000000000017,16.777518571830395
103,3,1025.03,592.55,992.4,1195.29,202.89,20.444377267230955
257,9,524,2367.12,1640.78,1437.86,202.92000000000007,12.367288728531557
373,5,865,644.79,1202.46,1405.41,202.95000000000005,16.87790030437603
272,3,127,293.49,303.2,506.3,203.10000000000002,66.98548812664909
951,2,274,888.24,917.79,714.36,203.42999999999995,22.16520118981466
792,9,748,653.42,1249.66,1453.55,203.88999999999987,16.31563785349614
899,1,1092,390.55,589.11,793.67,204.55999999999995,34.723566057272826
237,12,128,477.17,874.99,1079.78,204.78999999999996,23.40483891244471
242,14,1056,2489.69,1894.16,2099.94,205.77999999999997,10.863918570764875
436,1,452,275.05,282.89,488.73,205.84000000000003,72.76326487327232
72,2,713,740.33,1048.28,1254.23,205.95000000000005,19.646468500782237
543,12,342,2253.61,1659.5,1452.54,206.96000000000004,12.47122627297379
320,13,837,1218.93,1921.68,2129.04,207.3599999999999,10.790558261521163
744,5,1077,2234.35,1665.23,1457.13,208.0999999999999,12.49677221765161
392,12,398,2481.44,1755.18,1547.02,208.16000000000008,11.859752276119833
874,5,57,559.05,639.73,848.72,208.99,32.66846951057477
282,3,471,288.19,535.67,744.98,209.31000000000006,39.07443015289265
51,12,566,2013.7,1752.03,1542.64,209.38999999999987,11.951279373070088
837,14,805,834.06,1683.49,1893.19,209.70000000000005,12.45626644648914
725,4,425,1286.54,1449.26,1239.37,209.8900000000001,14.482563515173268
864,2,1189,1164.74,1666.52,1456.31,210.21000000000004,12.613710006480572
182,14,958,1727.76,2065.16,2275.74,210.57999999999993,10.196788626547093
801,7,150,1379.35,1500.09,1711.11,211.01999999999998,14.067155970641762
201,10,753,2054.02,1779.08,1568.01,211.06999999999994,11.863997122108053
771,3,289,853.79,969.85,758.44,211.40999999999997,21.798216219002935
457,9,592,793.55,1235.69,1447.12,211.42999999999984,17.11027846790051
452,13,608,370.89,1170.54,1381.98,211.44000000000005,18.063457891229696
665,1,1115,926.13,1192.88,980.84,212.04000000000008,17.775467775467778
573,12,657,322.5,1113.16,1325.94,212.77999999999997,19.114952028459516
572,10,797,1706.73,1724.42,1937.36,212.93999999999983,12.348499785435092
458,14,1015,871.76,1846.41,2060.28,213.87000000000012,11.583017856272448
400,12,508,1970.54,1770.91,1985.63,214.72000000000003,12.12483977164283
724,9,460,2424.47,1624.68,1409.32,215.36000000000013,13.255533397345944
430,3,692,450.7,748.57,964.68,216.1099999999999,28.86971158341904
279,1,303,931.53,857.42,641.26,216.15999999999997,25.21051526673042
892,12,437,639.96,1183.74,1400.76,217.01999999999998,18.333417811343704
419,11,458,1364.29,1649.04,1866.86,217.81999999999994,13.208897297821759
810,13,137,1505.66,1777.72,1559.62,218.10000000000014,12.268523727021135
793,13,1186,2462.26,1906.35,2125.18,218.82999999999993,11.47900438009809
114,7,237.33,1262.27,1452.17,1671.43,219.26,15.098783200314012
159,2,753,1111.16,1353.87,1134.03,219.83999999999992,16.23789580978971
384,10,816,1425.64,1872.81,2094.67,221.86000000000013,11.846369893368795
123,9,259.96,554.74,835.54,1057.49,221.95000000000005,26.563659429829816
697,7,671,1262.85,1600.42,1823.56,223.13999999999987,13.94259007010659
632,11,398,723.39,1154.77,1378.03,223.26,19.333720134745448
954,10,396,2068.65,1556.68,1332.48,224.20000000000005,14.402446231723928
730,12,931,864.21,1663.58,1888.72,225.1400000000001,13.533463975282228
521,7,172,1486.86,1557.94,1783.32,225.37999999999988,14.466539147849074
464,7,336,1843.58,1691.68,1917.32,225.63999999999987,13.33821999432516
299,6,803,465.6,1012,1238.56,226.55999999999995,22.38735177865612
561,12,178,507.59,907.19,1134.57,227.37999999999988,25.064209261565917
780,2,296,1878.7,1354,1125.72,228.27999999999997,16.85967503692762
541,9,989,378.12,1193.72,1422.31,228.58999999999992,19.1493817645679
868,11,650,524.8,1179.09,1407.86,228.76999999999998,19.402250888396985
368,6,884,1798.31,1897.87,1668.88,228.98999999999978,12.065631471070189
817,13,1199,493,1634.13,1863.43,229.29999999999995,14.031931364089756
925,11,198,269.95,695.66,926.62,230.96000000000004,33.2001264985769
525,13,710,2223.86,1979.83,1746.66,233.16999999999985,11.7772738063369
357,12,1139,124.65,1314.3,1547.78,233.48000000000002,17.76458951533136
281,9,938,2224.29,1913.87,1679.53,234.33999999999992,12.24430081457988
642,2,521,467.19,667.85,903.24,235.39,35.24593845923486
613,13,855,1798.75,1951.77,2187.22,235.44999999999982,12.063409110704633
391,6,1044,47.46,1133.45,897.54,235.91000000000008,20.813445674709964
507,3,98,871.46,866.05,630.04,236.01,27.251313434559204
417,5,477,655.24,935.38,1171.65,236.2700000000001,25.259252923945358
797,6,372,2494.69,1742.34,1505.04,237.29999999999995,13.619615000516545
83,1,263,396.49,198.42,436.04,237.62000000000003,119.75607297651449
821,9,444,725.31,1062.52,1300.2,237.68000000000006,22.36946128072884
345,5,942,2092.87,1696.72,1458.32,238.4000000000001,14.050638879720879
489,11,605,1880.69,1711.55,1950.7,239.1500000000001,13.97271479068681
796,10,783,158.93,993.55,1233.54,239.99,24.154798450002517
365,13,247,2339.61,1705.9,1465.39,240.51,14.098716220177032
329,9,368,495.12,847.33,1088.14,240.81000000000006,28.419860030920663
734,1,462,2047.57,1202.9,961.96,240.94000000000005,20.029927674785938
626,14,94,105.94,1180.63,938.92,241.71000000000015,20.472967822264394
216,11,685,2272.75,1873.94,1632.14,241.79999999999995,12.903294662582576
48,12,781,1159.18,1752.72,1994.7,241.98000000000002,13.805970149253731
989,7,309,1021.75,1309.85,1552.2,242.35000000000014,18.50211856319427
190,9,524,474.75,935.4,1178.4,243.0000000000001,25.97819114817192
898,5,1126,664.9,1336.74,1580.3,243.55999999999995,18.220446758531946
562,10,472,431.95,924.65,1168.61,243.95999999999992,26.384037203266093
88,1,532,413.99,355.57,599.8,244.22999999999996,68.68689709480552
969,7,250,364.79,718.71,963.29,244.57999999999993,34.03041560573804
603,5,1050,882.86,1430.04,1674.86,244.81999999999994,17.11980084473161
975,4,184,983.77,1202.69,956.79,245.9000000000001,20.44583392229087
325,5,781,672.91,1125.36,1371.61,246.25,21.88188668514964
425,6,425,709.75,1114.9,1361.75,246.8499999999999,22.1409991927527
92,3,906.3,540.03,848.42,1096.42,248.0000000000001,29.230805497277306
395,2,423,1639.17,1367.64,1117.54,250.10000000000014,18.286976104822916
78,1,606,923,1050.05,799.3,250.75,23.879815246893006
575,2,222,456.24,437.4,688.17,250.76999999999998,57.331961591220846
343,2,500,1246.48,1264.53,1013.59,250.93999999999994,19.844527215645336
558,9,768,1815.6,1666.18,1917.36,251.17999999999984,15.07520195897201
223,3,981,2008.83,1539.47,1288.02,251.45000000000005,16.333543362325997
591,2,636,1438.19,1435.96,1184.12,251.84000000000015,17.53809298309146
813,4,862,2335.55,1698.94,1951.76,252.81999999999994,14.881043474166242
98,2,623.18,347.54,625.15,878.03,252.88,40.451091737982885
346,12,81,2485.34,1589.65,1335.61,254.0400000000002,15.980876293523744
200,11,312,2072.39,1586.22,1332.14,254.07999999999993,16.017954634287797
236,5,569,1856.7,1623.81,1368.76,255.04999999999995,15.706886889475982
822,11,610,1990.79,1753.56,2009.1,255.53999999999996,14.572640799288303
633,14,68,438.96,866.76,1122.83,256.06999999999994,29.54335686926023
819,14,719,1973.14,1980.99,2238.3,257.3100000000002,12.988960065421843
835,3,864,2338.52,1513.04,1255.58,257.46000000000004,17.0160736001692
473,8,15,377.85,657.8,400.0,257.79999999999995,39.19124353906962
260,1,992,958.87,1222.41,964.46,257.95000000000005,21.101758002634146
654,11,512,2016.19,1710.53,1452.09,258.44000000000005,15.108767458039324
601,6,378,837.63,1215.96,1474.59,258.6299999999999,21.269614132043806
820,1,482,1697.08,1198.24,938.91,259.33000000000004,21.642575777807455
455,7,901,136.8,1222.6,963.15,259.44999999999993,21.221168002617368
326,5,831,591.65,1090.31,1349.79,259.48,23.79873613926315
990,3,992,1897.41,1539,1279.01,259.99,16.89343729694607
199,1,420,2273.6,1220.35,959.36,260.9899999999999,21.386487483099103
824,2,299,1612.7,1282.8,1021.39,261.40999999999997,20.37807920174618
371,2,301,769.23,731.28,993.07,261.7900000000001,35.79887320862051
662,12,947,193.05,1225.63,1487.54,261.90999999999985,21.36941817677438
657,9,1165,1868.79,1945.95,2209.95,263.9999999999998,13.566638402836647
700,2,370,1554.5,1311.23,1047.1,264.1300000000001,20.143681886473015
166,2,165,1813.32,1273.45,1009.18,264.2700000000001,20.752287094114422
120,6,222.08,709.07,1031.34,1296.14,264.8000000000002,25.675335001066596
681,12,852,1957.9,1944.89,2209.79,264.89999999999986,13.62030757523561
463,11,667,2221.67,1872.89,1607.31,265.58000000000015,14.180224145571824
504,6,373,587.38,956.61,1222.74,266.13,27.820114780317994
834,11,372,2048.26,1632.61,1366.31,266.29999999999995,16.311305210674927
428,7,635,1406.31,1630.66,1897.04,266.3799999999999,16.335716826315718
465,4,217,1506.46,1455.37,1187.97,267.39999999999986,18.373334615939584
621,4,72,1367.29,1302.97,1035.16,267.80999999999995,20.553811676400834
535,1,481,1792.17,1215.84,947.82,268.01999999999987,22.044018949861815
811,13,774,206.45,1110,1378.09,268.0899999999999,24.152252252252246
440,11,960,383.64,1248.46,1516.75,268.28999999999996,21.48967527994489
349,11,1004,167.15,1175.65,1444.83,269.17999999999984,22.896270148428513
895,12,18,2461.37,1556.78,1287.4,269.3799999999999,17.30366525777566
540,5,320,1584.55,1584.73,1313.03,271.70000000000005,17.144876414278777
427,13,235,426.07,897.26,1170.7,273.44000000000005,30.475001671756242
490,7,670,1558.02,1702.81,1977.1,274.28999999999996,16.108080173360502
410,7,847,1994.62,1851.7,2126.37,274.66999999999985,14.83339633849975
402,7,1161,1499.97,1862.45,2137.33,274.8799999999999,14.759053934333801
60,9,885,1764.97,1694.37,1970.43,276.0600000000002,16.292781387772457
900,11,273,502.37,862.61,1139.57,276.9599999999999,32.107209515308185
476,12,965,1700.28,1879.09,2156.69,277.60000000000014,14.773108259849192
331,11,667,1915.95,1732.2,2009.87,277.66999999999985,16.02990416810991
789,4,1001,739.08,1116.31,1394.12,277.80999999999995,24.886456271107484
680,3,870,413.23,795.8,1074.29,278.49,34.99497361146017
962,6,194,914.25,1168.72,1448.08,279.3599999999999,23.90307344787459
973,11,1149,270.81,1284.51,1564.4,279.8900000000001,21.789631844049488
723,7,381,2106.96,1705.27,1985.74,280.47,16.447248822767072
692,6,248,395.4,710.15,990.76,280.61,39.51418714356122
890,1,1035,1289.84,1317.33,1035.96,281.3699999999999,21.35911275079137
661,4,1065,119.34,781.82,1065.15,283.33000000000004,36.239799442326884
269,12,882,1958.14,1944.88,2230.01,285.1300000000001,14.660544609436062
742,14,595,2140.61,1989.13,1703.8,285.33000000000015,14.344462151795012
369,5,789,1853.31,1792.88,1507.19,285.69000000000005,15.93469724688769
394,6,84,852.7,1109.32,1395.58,286.26,25.80499765622183
629,1,979,1292.54,1313.53,1026.84,286.69000000000005,21.82591946891202
850,5,1010,2054.21,1810.37,1523.67,286.6999999999998,15.836541701420142
254,11,920,1338.65,1871.27,2158.45,287.17999999999984,15.346796560624593
582,1,467,296.49,221.23,508.44,287.21000000000004,129.82416489626183
167,5,1076,190.33,879.65,1167.12,287.4699999999999,32.68004319899959
743,7,623,1894.02,1739.49,2027.85,288.3599999999999,16.577272648879838
130,6,233.7,346.98,648.57,937.76,289.18999999999994,44.58886473318222
382,9,1080,539.51,1306.91,1596.26,289.3499999999999,22.140009641061734
407,14,191,2442.76,1798.47,1508.66,289.80999999999995,16.114252670325328
585,12,452,816.56,1243.1,1534.43,291.33000000000015,23.435765425146823
212,1,620,973.91,1112.02,820.17,291.85,26.245031564180504
142,9,1012,1429.04,1880.76,2173.37,292.6099999999999,15.558072268657346
67,3,795,450.85,743.94,1036.84,292.89999999999986,39.37145468720594
910,13,1152,864.45,1797.14,2091.95,294.8099999999997,16.40439809920205
616,5,1080,2383.82,1664.76,1369.31,295.45000000000005,17.74730291453423
238,4,886,2401.28,1698,1994.13,296.1300000000001,17.439929328621915
413,1,211,958.08,891.9,594.02,297.88,33.39836304518444
215,14,516,1464.67,1842.1,2140.99,298.8899999999999,16.22550350143857
161,6,383,462.79,800.3,1101.35,301.04999999999995,37.61714357116081
694,1,1112,2011.44,1423.85,1121.77,302.0799999999999,21.215717947817534
569,4,199,1310.01,1400.57,1097.33,303.24,21.651184874729577
552,8,323,46.48,703.45,400.0,303.45000000000005,43.137394271092475
885,2,897,2382.39,1437.95,1741.89,303.94000000000005,21.13703536284294
931,3,1027,180,804.96,1108.9,303.94000000000005,37.75839793281654
611,1,1068,2011.28,1421.45,1117.36,304.09000000000015,21.39294382496747
327,7,1089,1026.25,2132.85,1827.9,304.9499999999998,14.297770588648984
517,1,436,1358.14,1154.03,849.04,304.99,26.42825576458151
649,1,1113,1536,1403.6,1098.1,305.5,21.76546024508407
213,13,1004,1757.75,1960.67,2266.56,305.8899999999999,15.601299555764095
639,12,1135,475.95,1447.39,1753.62,306.2299999999998,21.157393653403698
73,3,874,1191.4,1515.99,1209.65,306.3399999999999,20.207257303808067
328,1,793,2171.07,1421.36,1114.31,307.04999999999995,21.602549670737883
560,1,1105,1432.3,1387.17,1078.58,308.59000000000015,22.24601166403542
927,11,67,2455.53,1572.91,1263.77,309.1400000000001,19.654017076628673
64,3,981,341.45,813.95,1123.28,309.3299999999999,38.0035628724123
296,4,10,1262.73,1261.41,951.79,309.6200000000001,24.545548235704498
157,1,822,2170.53,1374.91,1065.13,309.78,22.530929297190358
849,12,158,2195.67,1625.46,1314.78,310.68000000000006,19.11335868000443
695,12,1189,1453.16,2162.13,2473.84,311.71000000000004,14.416801949929006
397,6,577,897.74,1257.31,1570.64,313.33000000000015,24.920663957178434
830,12,601,2166.56,1918.46,1604.31,314.1500000000001,16.375113372183943
772,7,953,1918.24,1833.56,2148.2,314.6399999999999,17.160060210737573
285,10,965,1851.28,1805.77,2122.19,316.4200000000001,17.522718840162373
50,10,358,2066.62,1624.11,1306.51,317.5999999999999,19.555325686068056
377,1,752,1632.35,1362.39,1044.04,318.35000000000014,23.367024126718498
978,1,389,1964.96,1228.94,909.9,319.0400000000001,25.960583917847906
669,7,1033,1013.03,2119.83,1800.37,319.46000000000004,15.070076374048865
579,1,673,2026.16,1372.83,1051.82,321.01,23.38308457711443
177,1,989,2196.84,1439.17,1116.54,322.6300000000001,22.417782471841416
356,10,1187,1981.09,2013.21,2335.84,322.6300000000001,16.02565057793276
467,7,690,1807.71,1710.98,2034.04,323.05999999999995,18.88157664028802
305,1,735,1676.9,1365.21,1041.69,323.52,23.697453139077503
492,3,718,1158.02,1416.98,1092.11,324.8700000000001,22.92692910273964
728,1,553,1687.11,1295.34,969.91,325.42999999999995,25.123133694628436
366,14,777,1248.61,1837.25,2164.62,327.3699999999999,17.81847870458565
807,7,381,2342.27,1705.24,2032.8,327.55999999999995,19.209026295418823
270,11,448,732.79,1090.35,1418.11,327.76,30.06007245379924
688,4,1075,586.17,1023.65,1351.95,328.30000000000007,32.07150881649002
496,1,1166,1423.69,1412.13,1082.52,329.6100000000001,23.341335429457637
404,13,996,1809.2,1956.89,2286.92,330.03,16.865025627398573
112,6,72.85,457.75,666.59,997.06,330.4699999999999,49.57620126314525
870,1,791,1927.75,1419.88,1089.17,330.71000000000004,23.29140490745697
809,11,226,2013.45,1590.82,1259.78,331.03999999999996,20.80939389748683
904,12,353,2150.17,1765.67,1434.05,331.6200000000001,18.781539019182524
627,4,1113,2103.82,1695.08,2027.24,332.1600000000001,19.59553531396749
403,2,730,285.24,624.78,958.94,334.1600000000001,53.4844265181344
361,10,215,2440.91,1638.66,1304.28,334.3800000000001,20.405697338068915
93,3,1007.56,187.52,764.64,1099.05,334.40999999999997,43.73430634023854
85,10,424,474.99,831.96,1166.57,334.6099999999999,40.21948170585123
